"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A,US 3365746 A,023-035-367-434-441,1968-01-30,1968,US 54322766 A,1966-04-18,US 54322766 A,1966-04-18,Plaster applicator,,ALAN C. GOTT,GOTT ALAN C,,https://lens.org/023-035-367-434-441,Granted Patent,no,6,4,1,1,0,E04F21/08;;E04F21/08,E04F21/08,401/139,0,0,,,,EXPIRED
2,US,A,US 3360564 A,089-142-986-571-670,1967-12-26,1967,US 33717164 A,1964-01-13,US 33717164 A,1964-01-13,"2, 2-dialkylcyclobutanone and 2, 2-dialkylcyclobutanol compounds and processes for their preparation",,EASTMAN KODAK CO,MARTIN JAMES C;;GLENN GOTT PAUL,,https://lens.org/089-142-986-571-670,Granted Patent,no,0,2,3,3,0,C07C35/045;;C07C35/28;;C07C45/69;;C07C45/69;;C07C35/045;;C07C35/28,C07C35/04;;C07C35/28;;C07C45/76,,0,0,,,,EXPIRED
3,CN,A,CN 1436231 A,198-124-353-701-511,2003-08-13,2003,CN 01810973 A,2001-04-04,US 19748200 P,2000-04-17,Alkyl diol impregnated dry cleansing wipe,,UNILEVER NV,GOTT R E;;SLAVTCHEFF C S,,https://lens.org/198-124-353-701-511,Patent Application,no,0,0,12,12,0,A61K8/0208;;A61Q19/10;;C11D3/2041;;C11D17/049;;C11D17/049;;A61Q19/10;;C11D3/2041;;A61K8/0208,A45D33/38;;A45D34/04;;A61K8/00;;A61K8/02;;A61K8/34;;A61Q1/02;;A61Q1/14;;A61Q19/10;;C11D1/68;;C11D3/20;;C11D17/04,,0,0,,,,DISCONTINUED
4,CA,A,CA 772197 A,059-683-899-825-795,1967-11-21,1967,CA 772197D A,,CA 772197T A,,"2,2-DIALKYL-3-(1-ALKENYL) CYCLOBUTANE DERIVATIVES",,EASTMAN KODAK CO,MARTIN JAMES C;;GOTT PAUL G,,https://lens.org/059-683-899-825-795,Granted Patent,no,0,0,1,1,0,,,,0,0,,,,EXPIRED
5,US,A,US 3520932 A,020-657-993-429-145,1970-07-21,1970,US 3520932D A,1968-02-05,US 70279268 A,1968-02-05,"PREPARATION OF 5-AMINO-2,2-DIALKYLPENTANOLS",,EASTMAN KODAK CO,MARTIN JAMES C;;GOTT PAUL G,,https://lens.org/020-657-993-429-145,Granted Patent,no,4,6,1,1,0,C08G69/44;;C08G69/44,C08G69/44,260/584,0,0,,,,EXPIRED
6,EP,A2,EP 1274829 A2,183-497-813-163-193,2003-01-15,2003,EP 01917127 A,2001-04-04,EP 0103837 W;;US 19748200 P,2000-04-17,ALKYL DIOL IMPREGNATE DRY CLEANSING WIPE,,UNILEVER PLC;;UNILEVER NV,GOTT R E;;SLAVTCHEFF C S,,https://lens.org/183-497-813-163-193,Patent Application,yes,2,0,12,12,0,A61K8/0208;;A61Q19/10;;C11D3/2041;;C11D17/049;;C11D17/049;;A61Q19/10;;C11D3/2041;;A61K8/0208,A45D33/38;;A45D34/04;;A61K8/00;;A61K8/02;;A61K8/34;;A61Q1/02;;A61Q1/14;;A61Q19/10;;C11D1/68;;C11D3/20;;C11D17/04,,0,0,,,,DISCONTINUED
7,US,A,US 3394132 A,193-333-559-804-574,1968-07-23,1968,US 53898166 A,1966-03-31,US 53898166 A,1966-03-31,"4h-1, 3-oxazine-4, 6 (5h)-diones and their preparation",,EASTMAN KODAK CO,MARTIN JAMES C;;GOTT PAUL G,,https://lens.org/193-333-559-804-574,Granted Patent,no,2,2,1,1,0,C07D265/14;;C07D265/14;;C07D265/06;;C07D265/06,C07D265/06;;C07D265/14,260/244,0,0,,,,EXPIRED
8,CN,A,CN 1518440 A,049-778-380-572-68X,2004-08-04,2004,CN 02809949 A,2002-05-06,US 29079201 P,2001-05-14,Damp cleansing wipe,"公开了一种一次性基本上湿润的清洁制品，其具有一种浸渍到柔软基材，如非织造布上的清洁组合物。浸渍的组合物包含起泡表面活性剂和水，组合物的粘度为大约50厘泊～大约300,000厘泊。水含量为总制品重量的15％～40％。在所述的粘度和水含量范围内，起泡速度和泡沫体积增加。",UNILEVER PLC,GOTT R E;;SLAVTCHEFF C S,,https://lens.org/049-778-380-572-68X,Patent Application,no,0,1,23,23,0,A61K8/0208;;A61K8/442;;A61K8/463;;A61K8/731;;A61K8/898;;A61K2800/596;;A61Q19/10;;C11D17/049;;Y10T442/20;;Y10T442/2525;;Y10T442/2279;;Y10T442/2484;;Y10T442/689;;A61K8/46;;A61Q19/10;;Y10T442/20;;Y10T442/2525;;Y10T442/2279;;Y10T442/2484;;Y10T442/689;;A61K8/898;;A61K2800/596;;C11D17/049;;A61K8/463;;A61K8/442;;A61K8/731;;A61Q19/10;;A61K8/0208,A61K8/00;;A61K8/02;;A61K8/44;;A61K8/46;;A61K8/73;;A61K8/85;;A61K8/895;;A61K8/898;;A61Q19/10;;C11D17/04,,0,0,,,,EXPIRED
9,US,A,US 3442906 A,116-816-894-807-346,1969-05-06,1969,US 3442906D A,1967-12-08,US 68896067 A,1967-12-08,"2-METHYLENE-4-THIOXO-1,3-OXATHIAN-6-ONES AND THEIR PREPARATION",,EASTMAN KODAK CO,MARTIN JAMES C;;GOTT PAUL G,,https://lens.org/116-816-894-807-346,Granted Patent,no,0,0,1,1,0,C07D295/194;;C07D327/06;;C07D295/194;;C07D327/06,C07D295/194;;C07D327/06,260/327,0,0,,,,EXPIRED
10,CA,A,CA 748462 A,078-527-806-810-928,1966-12-13,1966,CA 748462D A,,CA 748462T A,,CYCLOBUTANE DERIVATIVES AND METHOD FOR THEIR PREPARATION,,EASTMAN KODAK CO,GOTT PAUL G;;MARTIN JAMES C,,https://lens.org/078-527-806-810-928,Granted Patent,no,0,0,1,1,0,,,,0,0,,,,EXPIRED
