"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,CN,U,CN 202221616 U,147-187-999-896-475,2012-05-16,2012,CN 201120190066 U,2011-06-08,FR 1054474 A,2010-06-08,Remote control equipment comprising energy storage equipment,"The utility model relates to remote control equipment, which comprises an electric generator (1) and electric energy storage equipment (10), wherein the electric generator (1) is designed for converting mechanical energy into electric energy, and the electric energy storage equipment(10) is connected with the electric generator (1). The electric energy storage equipment (10) comprises a first capacitor (C1), a first switch (S1), a second capacitor (C2) and a second switch (S2), wherein the first capacitor (C1) is connected with the terminal of the electric generator (1), and the first switch (S1) is used for controlling the charging and discharging of the first capacitor (C1). The second capacitor (C2) is connected with the first capacitor (C1), and the second switch (S2) is used for controlling the charging and discharging of the second capacitor (C2). The remote control equipment comprises a sequential control mechanism which is used for controlling the first switch (S1) and the second switch (S2) in succession.",SCHNEIDER ELECTRIC IND SA,VIGLAUX FULKERSON;;CARTIERMYRON CHRISTOPHER;;SENNETT DANIEL,,https://lens.org/147-187-999-896-475,Limited Patent,no,0,1,9,9,0,G08C17/00;;G08C2201/10;;G08C2201/112;;H02J7/32,G08C17/02;;H02J15/00,,0,0,,,,EXPIRED
2,WO,A1,WO 2021/236425 A1,058-828-154-569-49X,2021-11-25,2021,US 2021/0032358 W,2021-05-14,US 202063028884 P,2020-05-22,BUILDING MATERIALS COMPRISING MICROPOROUS MEMBRANES,"In at least one embodiment, a building material comprising a porous membrane having a moderate to high water vapor permeability and high liquid water penetration resistance is disclosed. The building material may be used in building applications, including as or as part of a building wrap, a rain screen, a roofing underlayment, a flashing, a sound proofing material, or an insulation material. The porous membrane may include at least one thermoplastic polymer, at least one filler, and at least one processing oil. The porous membrane may be flat or may have ribs. The porous membrane may include at least one scrim component.",DARAMIC LLC,STAINER MATTHEW;;MILLER ERIC;;WOLSKI MATT;;MUNHOLLON TYLER;;ALEXANDER DANIEL;;FULKERSON GARY,,https://lens.org/058-828-154-569-49X,Patent Application,yes,5,0,4,4,0,B01D69/02;;B01D2325/20;;B01D71/26;;E04B1/625;;B32B5/024;;B32B5/245;;B32B2307/7265;;B32B2419/00;;B32B5/262;;B32B5/12;;B32B2266/025;;B32B5/18;;B32B5/273;;B32B2307/718;;B32B2266/104;;B32B2419/06;;B32B5/022;;B32B2307/724;;B32B2307/73;;B32B2262/0253;;B32B5/028;;B01D71/261;;B01D69/02;;B01D2325/04;;B01D2325/20;;B01D2325/38;;B32B5/022;;B32B5/024;;B32B5/028;;B32B7/02;;B32B7/12;;B32B27/12;;B32B27/20;;B32B27/22;;B32B27/32;;B32B2262/0253;;B32B2307/71;;B32B2307/7246;;B32B2307/73;;B32B2307/744;;B32B2419/06;;E04B1/625,E04B1/64;;B01D67/00;;B01D69/02;;B01D71/26;;B32B5/18;;B32B5/22;;B32B7/02,,0,0,,,,PENDING
3,US,A1,US 2023/0219330 A1,163-810-057-749-81X,2023-07-13,2023,US 202117924076 A,2021-05-14,US 202117924076 A;;US 202063028884 P;;US 2021/0032358 W,2020-05-22,"NEW OR IMPROVED MICROPOROUS MEMBRANES, BUILDING MATERIALS COMPRISING THE SAME, AND METHODS FOR MAKING AND USING THE SAME","In at least one embodiment, a building material comprising a porous membrane having a moderate to high water vapor permeability and high liquid water penetration resistance is disclosed. The building material may be used in building applications, including as or as part of a building wrap, a rain screen, a roofing underlayment, a flashing, a sound proofing material, or an insulation material. The porous membrane may include at least one thermoplastic polymer, at least one filler, and at least one processing oil. The porous membrane may be flat or may have ribs. The porous membrane may include at least one scrim component.",DARAMIC LLC,STAINER MATTHEW;;MILLER ERIC H;;WOLSKI MATT J;;MUNHOLLON TYLER;;ALEXANDER DANIEL R;;FULKERSON GARY L,,https://lens.org/163-810-057-749-81X,Patent Application,yes,0,0,4,4,0,B01D69/02;;B01D2325/20;;B01D71/26;;E04B1/625;;B32B5/024;;B32B5/245;;B32B2307/7265;;B32B2419/00;;B32B5/262;;B32B5/12;;B32B2266/025;;B32B5/18;;B32B5/273;;B32B2307/718;;B32B2266/104;;B32B2419/06;;B32B5/022;;B32B2307/724;;B32B2307/73;;B32B2262/0253;;B32B5/028;;B01D71/261;;B01D69/02;;B01D2325/04;;B01D2325/20;;B01D2325/38;;B32B5/022;;B32B5/024;;B32B5/028;;B32B7/02;;B32B7/12;;B32B27/12;;B32B27/20;;B32B27/22;;B32B27/32;;B32B2262/0253;;B32B2307/71;;B32B2307/7246;;B32B2307/73;;B32B2307/744;;B32B2419/06;;E04B1/625,B32B27/12;;B01D69/02;;B01D71/26;;B32B5/02;;B32B7/02;;B32B7/12;;B32B27/20;;B32B27/22;;B32B27/32;;E04B1/62,,0,0,,,,PENDING
4,US,A1,US 2021/0113970 A1,031-238-236-908-758,2021-04-22,2021,US 201816754149 A,2018-10-09,US 201816754149 A;;US 201862677335 P;;US 201762570823 P;;US 2018/0054909 W,2017-10-11,"MICROPOROUS MEMBRANES, UNDERLAYMENT, ROOFING, FLASHING, WRAP, AND METHODS FOR MAKING AND USING THE SAME","In at least one embodiment, a microporous membrane having a moderate to high water vapor permeability and high liquid water penetration resistance is disclosed. The microporous membrane may be used in building applications, including as or as part of a building wrap, a rain screen, a roofing underlayment, a flashing, a sound proofing material, or an insulation material. The microporous membrane may include at least one thermoplastic polymer, at least one filler, and at least one processing oil. The microporous membrane may be flat or may have ribs. The microporous membrane may include at least one scrim component. A method for forming the microporous membrane is also disclosed.",DARAMIC LLC,STAINER MATTHEW;;MILLER ERIC H;;WOLSKI MATT J;;MUNHOLLON TYLER;;ALEXANDER DANIEL R;;FULKERSON GARY L,DARAMIC LLC (2020-07-27),https://lens.org/031-238-236-908-758,Patent Application,yes,7,20,7,7,0,B01D69/02;;B01D71/26;;E04B1/625;;E04B2001/7691;;B01D67/002;;B01D67/003;;B01D67/0079;;B01D69/10;;B01D69/148;;B01D71/021;;B01D71/024;;B01D71/027;;B01D2323/21;;B01D2325/08;;B01D2325/20;;B01D2325/28;;B01D2325/34;;E04D12/002;;B01D71/261;;B01D71/262;;B01D71/301;;B01D69/1411;;B29C48/022;;B29C48/002;;B29C48/0011;;B01D67/002;;B01D67/003;;B01D67/0079;;B01D69/02;;B01D69/148;;B01D71/021;;B01D2323/21;;B01D2325/08;;B01D2325/20;;B01D2325/34;;B29K2509/02;;E04B1/625;;E04B1/78;;E04B1/8409;;E04D12/002;;E04B2001/7691;;B01D71/024;;B01D71/301;;B01D71/261;;B01D71/262,B01D69/14;;B01D67/00;;B01D69/02;;B01D71/02;;B01D71/26;;B29C48/00;;B32B3/30;;B32B5/02;;B32B27/12;;B32B27/30;;B32B27/32;;E04B1/62;;E04B1/78;;E04B1/84;;E04D12/00,,0,0,,,,ACTIVE
5,CN,A,CN 115916385 A,198-332-753-597-983,2023-04-04,2023,CN 202180048824 A,2021-05-14,US 202063028884 P;;US 2021/0032358 W,2020-05-22,Building materials comprising microporous membranes,"In at least one embodiment, a building material is disclosed comprising a porous membrane having moderate to high water vapor permeability and high resistance to liquid water permeability. The building material may be used in building applications, including as or as part of a building envelope, a rainproof screen, a roof liner, a waterproof panel, a sound insulation material, or a thermal insulation material. The porous membrane may include at least one thermoplastic polymer, at least one filler, and at least one processing oil. The porous membrane may be flat or may have ribs. The porous membrane may include at least one base fabric component.",DARAMIC LLC,STEINER MATTHEW;;MILLER ERIC H;;MATT J WOLSKI;;TYLER MANHOLON;;ALEXANDER DANIEL R;;FULKERSON GARY L,,https://lens.org/198-332-753-597-983,Patent Application,no,0,0,4,4,0,B01D69/02;;B01D2325/20;;B01D71/26;;E04B1/625;;B32B5/024;;B32B5/245;;B32B2307/7265;;B32B2419/00;;B32B5/262;;B32B5/12;;B32B2266/025;;B32B5/18;;B32B5/273;;B32B2307/718;;B32B2266/104;;B32B2419/06;;B32B5/022;;B32B2307/724;;B32B2307/73;;B32B2262/0253;;B32B5/028;;B01D71/261;;B01D69/02;;B01D2325/04;;B01D2325/20;;B01D2325/38;;B32B5/022;;B32B5/024;;B32B5/028;;B32B7/02;;B32B7/12;;B32B27/12;;B32B27/20;;B32B27/22;;B32B27/32;;B32B2262/0253;;B32B2307/71;;B32B2307/7246;;B32B2307/73;;B32B2307/744;;B32B2419/06;;E04B1/625,B01D67/00,,0,0,,,,PENDING
6,EP,A1,EP 4133137 A1,196-372-890-465-358,2023-02-15,2023,EP 21808297 A,2021-05-14,US 202063028884 P;;US 2021/0032358 W,2020-05-22,BUILDING MATERIALS COMPRISING MICROPOROUS MEMBRANES,,DARAMIC LLC,STAINER MATTHEW;;MILLER ERIC H;;WOLSKI MATT J;;MUNHOLLON TYLER;;ALEXANDER DANIEL R;;FULKERSON GARY L,,https://lens.org/196-372-890-465-358,Patent Application,yes,0,0,4,4,0,B01D69/02;;B01D2325/20;;B01D71/26;;E04B1/625;;B32B5/024;;B32B5/245;;B32B2307/7265;;B32B2419/00;;B32B5/262;;B32B5/12;;B32B2266/025;;B32B5/18;;B32B5/273;;B32B2307/718;;B32B2266/104;;B32B2419/06;;B32B5/022;;B32B2307/724;;B32B2307/73;;B32B2262/0253;;B32B5/028;;B01D71/261;;B01D69/02;;B01D2325/04;;B01D2325/20;;B01D2325/38;;B32B5/022;;B32B5/024;;B32B5/028;;B32B7/02;;B32B7/12;;B32B27/12;;B32B27/20;;B32B27/22;;B32B27/32;;B32B2262/0253;;B32B2307/71;;B32B2307/7246;;B32B2307/73;;B32B2307/744;;B32B2419/06;;E04B1/625,E04B1/64;;B01D67/00;;B01D69/02;;B01D71/26;;B32B5/18;;B32B5/22;;B32B7/02,,0,0,,,,PENDING
7,EP,A4,EP 3694633 A4,139-487-742-090-016,2021-07-07,2021,EP 18866523 A,2018-10-09,US 201762570823 P;;US 201862677335 P;;US 2018/0054909 W,2017-10-11,"MICROPOROUS MEMBRANES, METHODS FOR MAKING AND USING THE SAME",,DARAMIC LLC,STAINER MATTHEW;;MILLER ERIC H;;WOLSKI MATT J;;MUNHOLLON TYLER;;ALEXANDER DANIEL R;;FULKERSON GARY L,"DARAMIC, LLC (2022-11-16)",https://lens.org/139-487-742-090-016,Search Report,no,3,0,7,7,0,B01D69/02;;B01D71/26;;E04B1/625;;E04B2001/7691;;B01D67/002;;B01D67/003;;B01D67/0079;;B01D69/10;;B01D69/148;;B01D71/021;;B01D71/024;;B01D71/027;;B01D2323/21;;B01D2325/08;;B01D2325/20;;B01D2325/28;;B01D2325/34;;E04D12/002;;B01D71/261;;B01D71/262;;B01D71/301;;B01D69/1411;;B29C48/022;;B29C48/002;;B29C48/0011;;B01D67/002;;B01D67/003;;B01D67/0079;;B01D69/02;;B01D69/148;;B01D71/021;;B01D2323/21;;B01D2325/08;;B01D2325/20;;B01D2325/34;;B29K2509/02;;E04B1/625;;E04B1/78;;E04B1/8409;;E04D12/002;;E04B2001/7691;;B01D71/024;;B01D71/301;;B01D71/261;;B01D71/262,B01D69/02;;B01D67/00;;B01D71/26;;E04B1/02,,1,0,,,See also references of WO 2019074866A1,PENDING
8,US,A1,US 2023/0381720 A1,185-470-232-157-775,2023-11-30,2023,US 202318234183 A,2023-08-15,US 202318234183 A;;US 202016754149 A;;US 2018/0054909 W;;US 201862677335 P;;US 201762570823 P,2017-10-11,"MICROPOROUS MEMBRANES, UNDERLAYMENT, ROOFING, FLASHING, WRAP, AND METHODS FOR MAKING AND USING THE SAME","In at least one embodiment, a microporous membrane having a moderate to high water vapor permeability and high liquid water penetration resistance is disclosed. The microporous membrane may be used in building applications, including as or as part of a building wrap, a rain screen, a roofing underlayment, a flashing, a sound proofing material, or an insulation material. The microporous membrane may include at least one thermoplastic polymer, at least one filler, and at least one processing oil. The microporous membrane may be flat or may have ribs. The microporous membrane may include at least one scrim component. A method for forming the microporous membrane is also disclosed.",DARAMIC LLC,STAINER MATTHEW;;MILLER ERIC H;;WOLSKI MATT J;;MUNHOLLON TYLER;;ALEXANDER DANIEL R;;FULKERSON GARY L,,https://lens.org/185-470-232-157-775,Patent Application,yes,0,0,7,7,0,B01D69/02;;B01D71/26;;E04B1/625;;E04B2001/7691;;B01D67/002;;B01D67/003;;B01D67/0079;;B01D69/10;;B01D69/148;;B01D71/021;;B01D71/024;;B01D71/027;;B01D2323/21;;B01D2325/08;;B01D2325/20;;B01D2325/28;;B01D2325/34;;E04D12/002;;B01D71/261;;B01D71/262;;B01D71/301;;B01D69/1411;;B29C48/022;;B29C48/002;;B29C48/0011;;B01D67/002;;B01D67/003;;B01D67/0079;;B01D69/02;;B01D69/148;;B01D71/021;;B01D2323/21;;B01D2325/08;;B01D2325/20;;B01D2325/34;;B29K2509/02;;E04B1/625;;E04B1/78;;E04B1/8409;;E04D12/002;;E04B2001/7691;;B01D71/024;;B01D71/301;;B01D71/261;;B01D71/262,B01D67/00;;B01D69/14;;B01D69/02;;B01D71/02;;B01D71/26;;B29C48/00;;E04B1/62;;E04B1/78;;E04B1/84;;E04D12/00,,0,0,,,,PENDING
9,US,B2,US 11766642 B2,060-849-304-159-205,2023-09-26,2023,US 201816754149 A,2018-10-09,US 201816754149 A;;US 201862677335 P;;US 201762570823 P;;US 2018/0054909 W,2017-10-11,"Microporous membranes, underlayment, roofing, flashing, wrap, and methods for making and using the same","In at least one embodiment, a microporous membrane having a moderate to high water vapor permeability and high liquid water penetration resistance is disclosed. The microporous membrane may be used in building applications, including as or as part of a building wrap, a rain screen, a roofing underlayment, a flashing, a sound proofing material, or an insulation material. The microporous membrane may include at least one thermoplastic polymer, at least one filler, and at least one processing oil. The microporous membrane may be flat or may have ribs. The microporous membrane may include at least one scrim component. A method for forming the microporous membrane is also disclosed.",DARAMIC LLC,STAINER MATTHEW;;MILLER ERIC H;;WOLSKI MATT J;;MUNHOLLON TYLER;;ALEXANDER DANIEL R;;FULKERSON GARY L,DARAMIC LLC (2020-07-27),https://lens.org/060-849-304-159-205,Granted Patent,yes,14,0,7,7,0,B01D69/02;;B01D71/26;;E04B1/625;;E04B2001/7691;;B01D67/002;;B01D67/003;;B01D67/0079;;B01D69/10;;B01D69/148;;B01D71/021;;B01D71/024;;B01D71/027;;B01D2323/21;;B01D2325/08;;B01D2325/20;;B01D2325/28;;B01D2325/34;;E04D12/002;;B01D71/261;;B01D71/262;;B01D71/301;;B01D69/1411;;B29C48/022;;B29C48/002;;B29C48/0011;;B01D67/002;;B01D67/003;;B01D67/0079;;B01D69/02;;B01D69/148;;B01D71/021;;B01D2323/21;;B01D2325/08;;B01D2325/20;;B01D2325/34;;B29K2509/02;;E04B1/625;;E04B1/78;;E04B1/8409;;E04D12/002;;E04B2001/7691;;B01D71/024;;B01D71/301;;B01D71/261;;B01D71/262,B01D69/14;;B01D67/00;;B01D69/02;;B01D71/02;;B01D71/26;;B29C48/00;;B29K509/02;;E04B1/62;;E04B1/76;;E04B1/78;;E04B1/84;;E04D12/00,,3,0,,,"Written Opinion and Search Report dated Dec. 20, 2018; from counterpart PCT Application No. PCT/US2018/054909.;;IPRP dated Apr. 14, 2020; from counterpart PCT Application No. PCT/US2018/054909.;;EP Extended Search Report dated Jun. 11, 2021; from EP counterpart 18866523.6.",ACTIVE
10,TW,A,TW 200513681 A,084-574-048-393-473,2005-04-16,2005,TW 93126092 A,2004-08-30,US 66595003 A,2003-09-19,Lens assembly with integrated focus mount and CRT coupler,A lens assembly adapted to be connected to a CRT and affixed to mounting structure in a projection television cabinet. The lens assembly includes a tubular lens mount having a longitudinal axis and at least a first optical lens element mounted along the longitudinal axis. A tubular focus mount extends along the longitudinal axis and fastening and locking structure connects the lens mount to the focus mount after a focus mount position is obtained. A CRT coupler is formed integrally with the focus mount and includes structure for securing a CRT and for securing the coupler to the mounting structure within the television cabinet. A second optical lens element is mounted to the CRT coupler. A flexible bladder may be used to contain coolant fluid between the CRT and the coupler. A flange may be provided to set a Scheimpflug angle between the CRT and the coupler. A clamp plate for the second optical lens element may include a generally rectangular opening providing a 4:3 or 16:9 mask for the image transmitted by the CRT.,3M INNOVATIVE PROPERTIES CO,GLASSBURN ROBIN STEVEN;;FULKERSON GREGORY E;;LARSON MICHAEL BRIAN;;SNIVELY DAVID MANNING;;DAWES BRIAN LEON;;MEISER DANIEL GERARD;;KEYES DONALD LEE,,https://lens.org/084-574-048-393-473,Patent of Addition,no,0,0,8,8,0,G02B13/16;;H04N9/3141;;G02B13/16;;H04N5/74;;G02B13/16;;H04N9/3141,G02B13/16;;H04N5/74,,0,0,,,,PENDING
11,KR,A,KR 20060091314 A,061-476-587-304-894,2006-08-18,2006,KR 20067007424 A,2006-04-18,US 66595003 A,2003-09-19,LENS ASSEMBLY WITH INTEGRATED FOCUS MOUNT AND CRT COUPLER,A lens assembly adapted to be connected to a CRT and affixed to mounting structure in a projection television cabinet. The lens assembly includes a tubular lens mount having a longitudinal axis and at least a first optical lens element mounted along the longitudinal axis. A tubular focus mount extends along the longitudinal axis and fastening and locking structure connects the lens mount to the focus mount after a focus mount position is obtained. A CRT coupler is formed integrally with the focus mount and includes structure for securing a CRT and for securing the coupler to the mounting structure within the television cabinet. A second optical lens element is mounted to the CRT coupler. A flexible bladder may be used to contain coolant fluid between the CRT and the coupler. A flange may be provided to set a Scheimpflug angle between the CRT and the coupler. A clamp plate for the second optical lens element may include a generally rectangular opening providing a 4:3 or 16:9 mask for the image transmitted by the CRT.,3M INNOVATIVE PROPERTIES CO,GLASSBURN ROBIN S;;FULKERSON E GREGORY;;LARSON MICHAEL B;;SNIVELY DAVID M;;KEYES DONALD L;;DAWES BRIAN L;;MEISER DANIEL G,,https://lens.org/061-476-587-304-894,Patent Application,no,0,0,8,8,0,G02B13/16;;H04N9/3141;;G02B13/16;;H04N5/74;;G02B13/16;;H04N9/3141,G02B13/16;;H04N5/74,,0,0,,,,DISCONTINUED
